Age,ProvinceTerritory,GenderIdentity,OnlineContact_LargeFriendGroup,Intervene_MorallyWrong,OverallMentalHealth,CyberBullying_Frequency
13,British Columbia,Boy,Daily or almost daily,Somewhat agree,Good,Prefer not to say
17,British Columbia,Girl,At least every week,Agree,Very good,Never
14,Nova Scotia,Girl,Daily or almost daily,Agree,Very good,Never
15,British Columbia,Girl,Never or almost never,agree,Good,Never
15,Ontario,Girl,Daily or almost daily,Somewhat agree,Good,Never
14,Ontario,Girl,Daily or almost daily,Agree,Fair,once or twice
15,Ontario,Girl,Several times each day,Agree,Prefer not to say,Never
16,Ontario,Boy,Never or almost never,Somewhat agree,Good,Never
16,Prince Edward Island,Boy,Don't know/doesn't apply,Prefer not to say,Very good,once or twice
14,Alberta,Boy,Daily or almost daily,Agree,Very good,once or twice
17,Nova Scotia,Girl,At least every week,Somewhat agree,Fair,Three or four times
16,Ontario,Boy,Never or almost never,Somewhat disagree,Excellent,Never
16,Ontario,Girl,Several times each day,Agree,Very good,Never
18,Ontario,Girl,At least every week,Agree,Poor,Never
12,Alberta,Boy,Daily or almost daily,Agree,Very good,Three or four times
14,Ontario,Girl,At least every week,Somewhat agree,Good,Never
17,Manitoba,Girl,Daily or almost daily,Somewhat agree,Good,Never
16,Ontario,Boy,At least every week,Somewhat agree,Very good,Never
14,Alberta,Girl,Never or almost never,Prefer not to say,Very good,Never
16,Ontario,Boy,Don't know/doesn't apply,Prefer not to say,Very good,Prefer not to say
17,British Columbia,Boy,At least every week,Agree,Good,Never
15,Ontario,Boy,Daily or almost daily,Agree,Poor,Prefer not to say
15,Ontario,Girl,Several times each day,Agree,Good,Never
15,British Columbia,Boy,At least every week,Somewhat agree,Excellent,Never
13,Ontario,Girl,Daily or almost daily,Agree,Good,once or twice
12,Ontario,Girl,Don't know/doesn't apply,Somewhat agree,Good,Never
18,British Columbia,Boy,At least every week,Agree,Fair,Prefer not to say
15,British Columbia,Boy,Daily or almost daily,Disagree,Good,Never
13,Alberta,Boy,At least every week,Agree,Very good,More than four times
16,British Columbia,Girl,Several times each day,Agree,Excellent,once or twice
